table_schema,table_name,constraint_name,constraint_type,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
auth,audit_log_entries,16494_16525_2_not_null,CHECK,null,null,null,null
auth,audit_log_entries,16494_16525_5_not_null,CHECK,null,null,null,null
auth,audit_log_entries,audit_log_entries_pkey,PRIMARY KEY,id,null,null,null
auth,flow_state,16494_16883_11_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_1_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_3_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_4_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_5_not_null,CHECK,null,null,null,null
auth,flow_state,16494_16883_6_not_null,CHECK,null,null,null,null
auth,flow_state,flow_state_pkey,PRIMARY KEY,id,null,null,null
auth,identities,16494_16681_1_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_2_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_3_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_4_not_null,CHECK,null,null,null,null
auth,identities,16494_16681_9_not_null,CHECK,null,null,null,null
auth,identities,identities_user_id_fkey,FOREIGN KEY,user_id,null,null,null
auth,identities,identities_pkey,PRIMARY KEY,id,null,null,null
auth,identities,identities_provider_id_provider_unique,UNIQUE,provider_id,null,null,null
auth,identities,identities_provider_id_provider_unique,UNIQUE,provider,null,null,null
auth,instances,16494_16518_1_not_null,CHECK,null,null,null,null
auth,instances,instances_pkey,PRIMARY KEY,id,null,null,null
auth,mfa_amr_claims,16494_16770_1_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_2_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_3_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_4_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,16494_16770_5_not_null,CHECK,null,null,null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_fkey,FOREIGN KEY,session_id,null,null,null
auth,mfa_amr_claims,amr_id_pk,PRIMARY KEY,id,null,null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE,session_id,null,null,null
auth,mfa_amr_claims,mfa_amr_claims_session_id_authentication_method_pkey,UNIQUE,authentication_method,null,null,null
auth,mfa_challenges,16494_16758_1_not_null,CHECK,null,null,null,null
auth,mfa_challenges,16494_16758_2_not_null,CHECK,null,null,null,null
auth,mfa_challenges,16494_16758_3_not_null,CHECK,null,null,null,null
auth,mfa_challenges,16494_16758_5_not_null,CHECK,null,null,null,null
auth,mfa_challenges,mfa_challenges_auth_factor_id_fkey,FOREIGN KEY,factor_id,null,null,null
auth,mfa_challenges,mfa_challenges_pkey,PRIMARY KEY,id,null,null,null
auth,mfa_factors,16494_16745_1_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_2_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_4_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_5_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_6_not_null,CHECK,null,null,null,null
auth,mfa_factors,16494_16745_7_not_null,CHECK,null,null,null,null
auth,mfa_factors,mfa_factors_user_id_fkey,FOREIGN KEY,user_id,null,null,null
auth,mfa_factors,mfa_factors_pkey,PRIMARY KEY,id,null,null,null
auth,mfa_factors,mfa_factors_last_challenged_at_key,UNIQUE,last_challenged_at,null,null,null
auth,oauth_authorizations,16494_16995_11_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_12_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_14_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_15_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_1_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_2_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_3_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_5_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,16494_16995_6_not_null,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_authorization_code_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_code_challenge_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_expires_at_future,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_nonce_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_redirect_uri_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_resource_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_scope_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_state_length,CHECK,null,null,null,null
auth,oauth_authorizations,oauth_authorizations_client_id_fkey,FOREIGN KEY,client_id,null,null,null
auth,oauth_authorizations,oauth_authorizations_user_id_fkey,FOREIGN KEY,user_id,null,null,null
auth,oauth_authorizations,oauth_authorizations_pkey,PRIMARY KEY,id,null,null,null
auth,oauth_authorizations,oauth_authorizations_authorization_code_key,UNIQUE,authorization_code,null,null,null
auth,oauth_authorizations,oauth_authorizations_authorization_id_key,UNIQUE,authorization_id,null,null,null
auth,oauth_client_states,16494_17068_1_not_null,CHECK,null,null,null,null
auth,oauth_client_states,16494_17068_2_not_null,CHECK,null,null,null,null
auth,oauth_client_states,16494_17068_4_not_null,CHECK,null,null,null,null
auth,oauth_client_states,oauth_client_states_pkey,PRIMARY KEY,id,null,null,null
auth,oauth_clients,16494_16965_10_not_null,CHECK,null,null,null,null
auth,oauth_clients,16494_16965_11_not_null,CHECK,null,null,null,null
auth,oauth_clients,16494_16965_13_not_null,CHECK,null,null,null,null
auth,oauth_clients,16494_16965_1_not_null,CHECK,null,null,null,null
auth,oauth_clients,16494_16965_4_not_null,CHECK,null,null,null,null
auth,oauth_clients,16494_16965_5_not_null,CHECK,null,null,null,null
auth,oauth_clients,16494_16965_6_not_null,CHECK,null,null,null,null
auth,oauth_clients,oauth_clients_client_name_length,CHECK,null,null,null,null
auth,oauth_clients,oauth_clients_client_uri_length,CHECK,null,null,null,null
auth,oauth_clients,oauth_clients_logo_uri_length,CHECK,null,null,null,null
auth,oauth_clients,oauth_clients_pkey,PRIMARY KEY,id,null,null,null
auth,oauth_consents,16494_17028_1_not_null,CHECK,null,null,null,null
auth,oauth_consents,16494_17028_2_not_null,CHECK,null,null,null,null
auth,oauth_consents,16494_17028_3_not_null,CHECK,null,null,null,null
auth,oauth_consents,16494_17028_4_not_null,CHECK,null,null,null,null
auth,oauth_consents,16494_17028_5_not_null,CHECK,null,null,null,null
auth,oauth_consents,oauth_consents_revoked_after_granted,CHECK,null,null,null,null
auth,oauth_consents,oauth_consents_scopes_length,CHECK,null,null,null,null
