table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default,is_identity,identity_generation
auth,audit_log_entries,1,instance_id,uuid,uuid,YES,null,NO,null
auth,audit_log_entries,2,id,uuid,uuid,NO,null,NO,null
auth,audit_log_entries,3,payload,json,json,YES,null,NO,null
auth,audit_log_entries,4,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,audit_log_entries,5,ip_address,character varying,varchar,NO,''::character varying,NO,null
auth,flow_state,1,id,uuid,uuid,NO,null,NO,null
auth,flow_state,2,user_id,uuid,uuid,YES,null,NO,null
auth,flow_state,3,auth_code,text,text,NO,null,NO,null
auth,flow_state,4,code_challenge_method,USER-DEFINED,code_challenge_method,NO,null,NO,null
auth,flow_state,5,code_challenge,text,text,NO,null,NO,null
auth,flow_state,6,provider_type,text,text,NO,null,NO,null
auth,flow_state,7,provider_access_token,text,text,YES,null,NO,null
auth,flow_state,8,provider_refresh_token,text,text,YES,null,NO,null
auth,flow_state,9,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,flow_state,10,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,flow_state,11,authentication_method,text,text,NO,null,NO,null
auth,flow_state,12,auth_code_issued_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,identities,1,provider_id,text,text,NO,null,NO,null
auth,identities,2,user_id,uuid,uuid,NO,null,NO,null
auth,identities,3,identity_data,jsonb,jsonb,NO,null,NO,null
auth,identities,4,provider,text,text,NO,null,NO,null
auth,identities,5,last_sign_in_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,identities,6,created_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,identities,7,updated_at,timestamp with time zone,timestamptz,YES,null,NO,null
auth,identities,8,email,text,text,YES,null,NO,null
auth,identities,9,id,uuid,uuid,NO,gen_random_uuid(),NO,null
auth,instances,1,id,uuid,uuid,NO,null,NO,null
auth,instances,2,uuid,uuid,uuid,YES,null,NO,null
auth,instances,3,raw_base_config,text,text,YES,null,NO,null
